"id","name","email","phone","customer_type","created_at","city","country","username"
5,"Sophia Ocean","miamisunshine@example.com","","LOCAL","2026-03-03 22:19:55.82241+01","Tarifa","Spain","MiamiSunshine"
6,"Hannah Glacier","alaska@example.com","","LOCAL","2026-03-03 22:19:55.824718+01","Tarifa","Spain","AlaskaExplorer"
9,"Flowing Spirit","river@example.com","","LOCAL","2026-03-03 22:19:55.828451+01","Tarifa","Spain","RiverWanderer"
16,"William Page","shakespeare@example.com","","LOCAL","2026-03-03 22:19:55.835235+01","Tarifa","Spain","ShakespeareFan"
17,"Victoria Redford","unionjack@example.com","","LOCAL","2026-03-03 22:19:55.835905+01","Tarifa","Spain","UnionJack"
19,"Catherine Bloom","royalgardener@example.com","","LOCAL","2026-03-03 22:19:55.838575+01","Tarifa","Spain","RoyalGardener"
21,"Sarah Loaf","baker@example.com","","LOCAL","2026-03-03 22:19:55.840316+01","Tarifa","Spain","BoroughBaker"
22,"Daniel Stone","towerbridge@example.com","","LOCAL","2026-03-03 22:19:55.841127+01","Tarifa","Spain","TowerBridgeTrekker"
23,"George Aleman","pub@example.com","","LOCAL","2026-03-03 22:19:55.842054+01","Tarifa","Spain","PubExplorer"
24,"Emily King","cambridge@example.com","","LOCAL","2026-03-03 22:19:55.843244+01","Tarifa","Spain","CambridgeScholar"
26,"Lydia Fields","countryside@example.com","","LOCAL","2026-03-03 22:19:55.844993+01","Tarifa","Spain","CountrysideChaser"
28,"Alice Meadow","cottagecore@example.com","","LOCAL","2026-03-03 22:19:55.846267+01","Tarifa","Spain","CottageCoreDream"
31,"Charlotte Turner","teaandbooks@example.com","","LOCAL","2026-03-03 22:19:55.849684+01","Tarifa","Spain","TeaAndBooks"
32,"Lucy Warmth","fireplace@example.com","","LOCAL","2026-03-03 22:19:55.850616+01","Tarifa","Spain","CozyFireplace"
37,"Sophia Lane","chelsea@example.com","","LOCAL","2026-03-03 22:19:55.855244+01","Tarifa","Spain","CharmingChelsea"
42,"Alexander Lane","regent@example.com","","LOCAL","2026-03-03 22:19:55.858248+01","Tarifa","Spain","RegentStroller"
44,"Thomas Sprint","hydepark@example.com","","LOCAL","2026-03-03 22:19:55.859334+01","Tarifa","Spain","HydeParkJogger"
46,"Eleanor View","londoneye@example.com","","LOCAL","2026-03-03 22:19:55.860406+01","Tarifa","Spain","LondonEyeSeer"
