"id","name","email","phone","customer_type","created_at","city","country","username"
"1","Ruby Canyon","sedona@example.com","","VISITOR","2026-03-03 22:19:55.810569+01","Sedona","USA","SedonaHiker"
"2","Arctic Wanderer","penguin@example.com","","VISITOR","2026-03-03 22:19:55.81575+01","Oulu","Finland","PixelPenguin"
"3","Benjamin Clock","bigben@example.com","","VISITOR","2026-03-03 22:19:55.81746+01","London","UK","BigBenBeliever"
"4","Franklin Bell","libertybell@example.com","","VISITOR","2026-03-03 22:19:55.819457+01","New York City","USA","LibertyBellFan"
"5","Sophia Ocean","miamisunshine@example.com","","LOCAL","2026-03-03 22:19:55.82241+01","Tarifa","Spain","MiamiSunshine"
"6","Hannah Glacier","alaska@example.com","","LOCAL","2026-03-03 22:19:55.824718+01","Tarifa","Spain","AlaskaExplorer"
"7","Skyline Dreamer","sky@example.com","","VISITOR","2026-03-03 22:19:55.825871+01","Las Vegas","USA","SkyChaser"
"8","Rocky Trails","goat@example.com","","VISITOR","2026-03-03 22:19:55.827296+01","Corralejo","Spain","MountainGoat"
"9","Flowing Spirit","river@example.com","","LOCAL","2026-03-03 22:19:55.828451+01","Tarifa","Spain","RiverWanderer"
"10","Sahara Rover","fox@example.com","","VISITOR","2026-03-03 22:19:55.829682+01","Bilbao","Spain","DesertFox"
"11","Digital Nomad","techtrekker@example.com","","VISITOR","2026-03-03 22:19:55.830766+01","Bergen","Norway","TechTrekker"
"12","Elizabeth Green","tea@example.com","","VISITOR","2026-03-03 22:19:55.832024+01","Hamburg","Germany","TeaLover"
"13","John Sterling","walker@example.com","","VISITOR","2026-03-03 22:19:55.832883+01","Toulouse","France","LondonWalker"
"14","Margaret Brown","biscuit@example.com","","VISITOR","2026-03-03 22:19:55.833707+01","Edinburgh","UK","BiscuitHunter"
"15","Edward Grey","foggy@example.com","","VISITOR","2026-03-03 22:19:55.834516+01","Palermo","Italy","FoggyMorning"
"16","William Page","shakespeare@example.com","","LOCAL","2026-03-03 22:19:55.835235+01","Tarifa","Spain","ShakespeareFan"
"17","Victoria Redford","unionjack@example.com","","LOCAL","2026-03-03 22:19:55.835905+01","Tarifa","Spain","UnionJack"
"18","Arthur Lake","thames@example.com","","VISITOR","2026-03-03 22:19:55.836662+01","Barcelona","Spain","ThamesRider"
"19","Catherine Bloom","royalgardener@example.com","","LOCAL","2026-03-03 22:19:55.838575+01","Tarifa","Spain","RoyalGardener"
"20","Harold Weatherby","rainyday@example.com","","VISITOR","2026-03-03 22:19:55.839444+01","Dortmund","Germany","RainyDayDreamer"
"21","Sarah Loaf","baker@example.com","","LOCAL","2026-03-03 22:19:55.840316+01","Tarifa","Spain","BoroughBaker"
"22","Daniel Stone","towerbridge@example.com","","LOCAL","2026-03-03 22:19:55.841127+01","Tarifa","Spain","TowerBridgeTrekker"
"23","George Aleman","pub@example.com","","LOCAL","2026-03-03 22:19:55.842054+01","Tarifa","Spain","PubExplorer"
"24","Emily King","cambridge@example.com","","LOCAL","2026-03-03 22:19:55.843244+01","Tarifa","Spain","CambridgeScholar"
"25","Charles Wheels","redbus@example.com","","VISITOR","2026-03-03 22:19:55.844281+01","Copenhagen","Denmark","RedBusRider"
"26","Lydia Fields","countryside@example.com","","LOCAL","2026-03-03 22:19:55.844993+01","Tarifa","Spain","CountrysideChaser"
"27","James Batson","cricket@example.com","","VISITOR","2026-03-03 22:19:55.845632+01","Bordeaux","France","CricketFanatic"
"28","Alice Meadow","cottagecore@example.com","","LOCAL","2026-03-03 22:19:55.846267+01","Tarifa","Spain","CottageCoreDream"
"29","Oliver Circle","stonehenge@example.com","","VISITOR","2026-03-03 22:19:55.846884+01","Genoa","Italy","StonehengeSeeker"
"30","Henry Brainwood","oxford@example.com","","LOCAL","2026-03-03 22:19:55.847503+01","Tarifa","Spain","OxfordThinker"
"31","Charlotte Turner","teaandbooks@example.com","","LOCAL","2026-03-03 22:19:55.849684+01","Tarifa","Spain","TeaAndBooks"
"32","Lucy Warmth","fireplace@example.com","","LOCAL","2026-03-03 22:19:55.850616+01","Tarifa","Spain","CozyFireplace"
"33","Philip Crownstone","castles@example.com","","VISITOR","2026-03-03 22:19:55.852131+01","Bremen","Germany","CastlesAndCrowns"
"34","Anna Waters","lakedistrict@example.com","","VISITOR","2026-03-03 22:19:55.853134+01","Malaga","Spain","LakeDistrictLover"
"35","Frederick Tasty","yorkshire@example.com","","VISITOR","2026-03-03 22:19:55.853836+01","Strasbourg","France","YorkshirePudding"
"36","Fiona Braveheart","scottish@example.com","","VISITOR","2026-03-03 22:19:55.854588+01","Naples","Italy","ScottishHighlander"
"37","Sophia Lane","chelsea@example.com","","LOCAL","2026-03-03 22:19:55.855244+01","Tarifa","Spain","CharmingChelsea"
"38","Samuel Time","greenwich@example.com","","VISITOR","2026-03-03 22:19:55.855907+01","Munich","Germany","GreenwichGazer"
"39","Diana Windsor","buckingham@example.com","","VISITOR","2026-03-03 22:19:55.856583+01","Florence","Italy","BuckinghamDreamer"
"40","Edward Hall","hampton@example.com","","VISITOR","2026-03-03 22:19:55.857167+01","Leeds","UK","HamptonHistorian"
"41","Victoria Majesty","queenbee@example.com","","VISITOR","2026-03-03 22:19:55.857706+01","Rome","Italy","QueenBee"
"42","Alexander Lane","regent@example.com","","LOCAL","2026-03-03 22:19:55.858248+01","Tarifa","Spain","RegentStroller"
"43","Amelia Market","portobello@example.com","","VISITOR","2026-03-03 22:19:55.858792+01","Genoa","Italy","PortobelloPicker"
"44","Thomas Sprint","hydepark@example.com","","LOCAL","2026-03-03 22:19:55.859334+01","Tarifa","Spain","HydeParkJogger"
"45","Emily Lace","vintagevictoria@example.com","","VISITOR","2026-03-03 22:19:55.859872+01","Zurich","Switzerland","VintageVictoria"
"46","Eleanor View","londoneye@example.com","","LOCAL","2026-03-03 22:19:55.860406+01","Tarifa","Spain","LondonEyeSeer"
"47","Isabelle Cup","royalteaparty@example.com","","VISITOR","2026-03-03 22:19:55.861312+01","Bergen","Norway","RoyalTeaParty"
"48","Matthew Bells","abbey@example.com","","LOCAL","2026-03-03 22:19:55.861841+01","Tarifa","Spain","AbbeyFanatic"
"49","Dorothy Wordsworth","lakepoet@example.com","","VISITOR","2026-03-03 22:19:55.862363+01","Bari","Italy","LakePoet"
